Table Name,Counter Name,Data Id,MO Class
DC_E_GGSN_SMF_SBI_RESP_CAUSE,access_token_get_resp,access-token-get-resp,smf-sbi-response-cause
DC_E_GGSN_APNRADACCT,accounting_requests_throttling,accounting-requests-throttling,ggsn-apn-radius-acct-servers-stats
DC_E_GGSN_IPSEC,active_ip4_detected_peer_behind_nat,active-ip4-detected-peer-behind-nat,seg-ipsec
DC_E_GGSN_UP_LARGE_FLOW_SHAPING,active_large_dl_pkt_buf,active-large-dl-pkt-buf,up-large-flow-shaping
DC_E_GGSN_PGW_APN_IPV6_PREFIX_DEL,advertise_sent,advertise-sent,pgw-apn-ipv6-prefix-delegation
DC_E_GGSN_SMF_NNRF_DISC,amf_comm_disc_req,amf-comm-disc-req,smf-nnrf-disc
DC_E_GGSN_SMF_NNRF_DISC,amf_comm_disc_resp_succ,amf-comm-disc-resp-succ,smf-nnrf-disc
DC_E_GGSN_SMF_NNRF_DISC,amf_evts_disc_req,amf-evts-disc-req,smf-nnrf-disc
DC_E_GGSN_SMF_NNRF_DISC,amf_evts_disc_resp_succ,amf-evts-disc-resp-succ,smf-nnrf-disc
DC_E_GGSN_SXB,association_release_req_sent,association-release-req-sent,sxb-association-information
DC_E_GGSN_SXB,association_release_resp_acc_rcvd,association-release-resp-acc-rcvd,sxb-association-information
DC_E_GGSN_SXB,association_setup_req_rcvd,association-setup-req-rcvd,sxb-association-information
DC_E_GGSN_SXB,association_setup_req_sent,association-setup-req-sent,sxb-association-information
DC_E_GGSN_SXB,association_setup_resp_acc_rcvd,association-setup-resp-acc-rcvd,sxb-association-information
DC_E_GGSN_SXB,association_setup_resp_sent,association-setup-resp-sent,sxb-association-information
DC_E_GGSN_SXB,association_update_req_rcvd,association-update-req-rcvd,sxb-association-information
DC_E_GGSN_SXB,association_update_req_sent,association-update-req-sent,sxb-association-information
DC_E_GGSN_SXB,association_update_resp_acc_rcvd,association-update-resp-acc-rcvd,sxb-association-information
DC_E_GGSN_SXB,association_update_resp_sent,association-update-resp-sent,sxb-association-information
DC_E_GGSN_UP_ASSOCIATION,associations,associations,up-association
DC_E_GGSN_GGSN,attemptedHoIratFromCdmaToEutran,attempted-ho-irat-from-cdma-to-eutran,pgw-attempted-eps-bearer-stats
DC_E_GGSN_GGSN,attemptedHoIratFromCdmaToEutran,attemptedHoIratFromCdmaToEutran,pgwAttemptedEpsBearerStats
DC_E_GGSN_GGSN,attemptedHoIratFromNon3gppToEutran,attempted-ho-irat-from-non3gpp-to-eutran,pgw-attempted-eps-bearer-stats
DC_E_GGSN_GGSN,attemptedHoIratFromNon3gppToEutran,attemptedHoIratFromNon3gppToEutran,pgwAttemptedEpsBearerStats
DC_E_GGSN_SGW,attemptedPdnHoFromNon3gpp,attempted-pdn-ho-from-non3gpp,handover
DC_E_GGSN_SGW,attemptedPdnHoFromNon3gpp,attemptedPdnHoFromNon3gpp,handover
DC_E_GGSN_APNRADAUTH,authentication_requests_throttling,authentication-requests-throttling,ggsn-apn-radius-auth-servers-stats
DC_E_GGSN_SGW,bpCdrsEncoded,bp-cdrs-encoded,ftp-cdrs
DC_E_GGSN_SGW,bpCdrsEncoded,bpCdrsEncoded,ftpCdrs
DC_E_GGSN_SGW,bpCdrsPendingToBeWrittenToDisk,bp-cdrs-pending-to-be-written-to-disk,ftp-cdrs
DC_E_GGSN_SGW,bpCdrsPendingToBeWrittenToDisk,bpCdrsPendingToBeWrittenToDisk,ftpCdrs
DC_E_GGSN_SGW,bpCdrsWrittenToDisk,bp-cdrs-written-to-disk,ftp-cdrs
DC_E_GGSN_SGW,bpCdrsWrittenToDisk,bpCdrsWrittenToDisk,ftpCdrs
DC_E_GGSN_SGW,bufferedBytesHighPriority,buffered-bytes-high-priority,sgw-downlink-traffic
DC_E_GGSN_SGW,bufferedBytesHighPriority,bufferedBytesHighPriority,sgwDownlinkTraffic
DC_E_GGSN_SGW,bufferedBytesNormalPriority,buffered-bytes-normal-priority,sgw-downlink-traffic
DC_E_GGSN_SGW,bufferedBytesNormalPriority,bufferedBytesNormalPriority,sgwDownlinkTraffic
DC_E_GGSN_SGW,bufferedPacketsHighPriority,buffered-packets-high-priority,sgw-downlink-traffic
DC_E_GGSN_SGW,bufferedPacketsHighPriority,bufferedPacketsHighPriority,sgwDownlinkTraffic
DC_E_GGSN_SGW,bufferedPacketsNormalPriority,buffered-packets-normal-priority,sgw-downlink-traffic
DC_E_GGSN_SGW,bufferedPacketsNormalPriority,bufferedPacketsNormalPriority,sgwDownlinkTraffic
DC_E_GGSN_APN,change_notif_att,change-notif-att,pgw-tunnel-mgmt-s5s8-apn
DC_E_GGSN_APN,change_notif_cmpl,change-notif-cmpl,pgw-tunnel-mgmt-s5s8-apn
DC_E_GGSN_GGSN,completedHoIratFromCdmaToEutran,completed-ho-irat-from-cdma-to-eutran,pgw-completed-eps-bearer-stats
DC_E_GGSN_GGSN,completedHoIratFromCdmaToEutran,completedHoIratFromCdmaToEutran,pgwCompletedEpsBearerStats
DC_E_GGSN_SGW,completedPdnHoFromNon3gpp,completed-pdn-ho-from-non3gpp,handover
DC_E_GGSN_SGW,completedPdnHoFromNon3gpp,completedPdnHoFromNon3gpp,handover
DC_E_GGSN_UP_LARGE_FLOW_SHAPING_LEVEL,congestion_shaped_large_tcp_flows_level_0,congestion-shaped-large-tcp-flows-level-0,up-large-flow-shaping-level
DC_E_GGSN_UP_LARGE_FLOW_SHAPING_LEVEL,congestion_shaped_large_tcp_flows_level_1,congestion-shaped-large-tcp-flows-level-1,up-large-flow-shaping-level
DC_E_GGSN_UP_LARGE_FLOW_SHAPING_LEVEL,congestion_shaped_large_tcp_flows_level_10,congestion-shaped-large-tcp-flows-level-10,up-large-flow-shaping-level
DC_E_GGSN_UP_LARGE_FLOW_SHAPING_LEVEL,congestion_shaped_large_tcp_flows_level_2,congestion-shaped-large-tcp-flows-level-2,up-large-flow-shaping-level
DC_E_GGSN_UP_LARGE_FLOW_SHAPING_LEVEL,congestion_shaped_large_tcp_flows_level_3,congestion-shaped-large-tcp-flows-level-3,up-large-flow-shaping-level
DC_E_GGSN_UP_LARGE_FLOW_SHAPING_LEVEL,congestion_shaped_large_tcp_flows_level_4,congestion-shaped-large-tcp-flows-level-4,up-large-flow-shaping-level
DC_E_GGSN_UP_LARGE_FLOW_SHAPING_LEVEL,congestion_shaped_large_tcp_flows_level_5,congestion-shaped-large-tcp-flows-level-5,up-large-flow-shaping-level
DC_E_GGSN_UP_LARGE_FLOW_SHAPING_LEVEL,congestion_shaped_large_tcp_flows_level_6,congestion-shaped-large-tcp-flows-level-6,up-large-flow-shaping-level
DC_E_GGSN_UP_LARGE_FLOW_SHAPING_LEVEL,congestion_shaped_large_tcp_flows_level_7,congestion-shaped-large-tcp-flows-level-7,up-large-flow-shaping-level
DC_E_GGSN_UP_LARGE_FLOW_SHAPING_LEVEL,congestion_shaped_large_tcp_flows_level_8,congestion-shaped-large-tcp-flows-level-8,up-large-flow-shaping-level
DC_E_GGSN_UP_LARGE_FLOW_SHAPING_LEVEL,congestion_shaped_large_tcp_flows_level_9,congestion-shaped-large-tcp-flows-level-9,up-large-flow-shaping-level
DC_E_GGSN_SMF_SBI_RESP_CAUSE,converged_charging_create_resp,converged-charging-create-resp,smf-sbi-response-cause
DC_E_GGSN_SMF_SBI_RESP_CAUSE,converged_charging_notify_resp,converged-charging-notify-resp,smf-sbi-response-cause
