Table Name,Counter Name,Data Id,MO Class
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit39InfoId,ReplacementUnit39Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit33InfoId,ReplacementUnit33Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit40InfoId,ReplacementUnit40Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit16InfoId,ReplacementUnit16Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit31InfoId,ReplacementUnit31Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit13InfoId,ReplacementUnit13Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit25InfoId,ReplacementUnit25Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit19InfoId,ReplacementUnit19Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit37InfoId,ReplacementUnit37Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit6InfoId,ReplacementUnit6Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit28InfoId,ReplacementUnit28Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit29InfoId,ReplacementUnit29Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit17InfoId,ReplacementUnit17Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit20InfoId,ReplacementUnit20Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit7InfoId,ReplacementUnit7Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit32InfoId,ReplacementUnit32Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit32InfoId,ReplacementUnit12Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit8InfoId,ReplacementUnit8Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit2InfoId,ReplacementUnit2Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit24InfoId,ReplacementUnit24Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit1InfoId,ReplacementUnit1Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit36InfoId,ReplacementUnit36Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit35InfoId,ReplacementUnit35Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit21InfoId,ReplacementUnit21Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit9InfoId,ReplacementUnit9Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit3InfoId,ReplacementUnit3Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit23InfoId,ReplacementUnit23Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit18InfoId,ReplacementUnit18Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit5InfoId,ReplacementUnit5Info
DC_E_BULK_CM_REPLACEMENTUNIT,rULogicalIdExt2,ReplacementUnit38InfoId,ReplacementUnit38Info
