Fact Table Name,Counter Name,Data id,MO class
DC_E_CPP_CONSUMEDENERGYMEASUREMENT,pmConsumedEnergy,pmConsumedEnergy,ConsumedEnergyMeasurement
DC_E_CPP_CONSUMEDENERGYMEASUREMENT,pmConsumedEnergyAccumulated,pmConsumedEnergyAccumulated,ConsumedEnergyMeasurement
DC_E_CPP_CONSUMEDENERGYMEASUREMENT_V,pmPowerConsumption,pmPowerConsumption,ConsumedEnergyMeasurement_V
DC_E_CPP_CONSUMEDENERGYMEASUREMENT_V,pmVoltage,pmVoltage,ConsumedEnergyMeasurement_V
DC_E_CPP_CONSUMEDENERGYMEASUREMENT,pmConsumedEnergy,pmConsumedEnergy,ConsumedEnergy
DC_E_CPP_CONSUMEDENERGYMEASUREMENT,pmConsumedEnergyAccumulated,pmConsumedEnergyAccumulated,ConsumedEnergy
DC_E_CPP_CONSUMEDENERGYMEASUREMENT_V,pmPowerConsumption,pmPowerConsumption,ConsumedEnergy_V
