Table Name,Counter Name,Data Id,MO Class
DC_E_VPP_PPFUNCTION,pmFwkSampLostL2Bearer,pmFwkSampLostL2Bearer,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmFwkSampLostL2Leg,pmFwkSampLostL2Leg,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmFwkSampLostL2Ppf,pmFwkSampLostL2Ppf,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmPdcpPktDisc,pmPdcpPktDisc,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmPdcpPktDisc,pmPdcpPktDisc,PpFunction
DC_E_VPP_PPFUNCTION,pmPdcpPktDiscGtpu,pmPdcpPktDiscGtpu,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmPdcpPktDiscGtpu,pmPdcpPktDiscGtpu,PpFunction
DC_E_VPP_PPFUNCTION,pmPdcpPktDiscNoCtxt,pmPdcpPktDiscNoCtxt,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmPdcpPktDiscNoCtxt,pmPdcpPktDiscNoCtxt,PpFunction
DC_E_VPP_PPFUNCTION,pmPdcpPktDiscNoErabCtxt,pmPdcpPktDiscNoErabCtxt,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmPdcpPktDiscNoErabCtxt,pmPdcpPktDiscNoErabCtxt,PpFunction
DC_E_VPP_PPFUNCTION,pmPdcpRadioResSwitchDlMcg,pmPdcpRadioResSwitchDlMcg,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmPdcpRadioResSwitchDlScg,pmPdcpRadioResSwitchDlScg,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmProhibitTimerRefuseUlLegSwitch,pmProhibitTimerRefuseUlLegSwitch,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmPdcpPktInjected,pmPdcpPktInjected,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmPdcpPktRecDlInact,pmPdcpPktRecDlInact,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmPdcpPktRecDlDiscInact,pmPdcpPktRecDlDiscInact,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmRohcCidSamp,pmRohcCidSamp,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmRohcCidDlMax,pmRohcCidDlMax,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmRohcCidDlSum,pmRohcCidDlSum,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmRohcCidUlMax,pmRohcCidUlMax,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmRohcCidUlSum,pmRohcCidUlSum,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmRohcCidUlSamp,pmRohcCidUlSamp,GNBCUUPFunction
DC_E_VPP_PPFUNCTION,pmRohcCidDlSamp,pmRohcCidDlSamp,GNBCUUPFunction
DC_E_VPP_PPFUNCTION_V,pmProcessingLoadUpDistr,pmProcessingLoadUpDistr,GNBCUUPFunction
DC_E_VPP_PPFUNCTION_V,pmPdcpPktFwdRecDlQos,pmPdcpPktFwdRecDlQos,GNBCUUPFunction
DC_E_VPP_PPFUNCTION_V,pmPdcpPktFwdRecDlDiscQos,pmPdcpPktFwdRecDlDiscQos,GNBCUUPFunction
DC_E_VPP_PPFUNCTION_V,pmFwkStreamDroppedEventDistr,pmFwkStreamDroppedEventDistr,GNBCUUPFunction
DC_E_VPP_PPFUNCTION_V,pmFwkStreamDroppedEventSocketConnectionFailDistr,pmFwkStreamDroppedEventSocketConnectionFailDistr,GNBCUUPFunction
DC_E_VPP_PPFUNCTION_V,pmFwkStreamDroppedEventSlowStreamDistr,pmFwkStreamDroppedEventSlowStreamDistr,GNBCUUPFunction
DC_E_VPP_PPFUNCTION_V,pmFwkStreamProducedEventDistr,pmFwkStreamProducedEventDistr,GNBCUUPFunction
DC_E_VPP_PPFUNCTION_V,pmFwkStreamDroppedEventSocketSetupFailDistr,pmFwkStreamDroppedEventSocketSetupFailDistr,GNBCUUPFunction
DC_E_VPP_PPFUNCTION_V,pmFwkStreamDroppedEventLicenseUnavailableDistr,pmFwkStreamDroppedEventLicenseUnavailableDistr,GNBCUUPFunction
DC_E_VPP_PPFUNCTION_V,pmFwkStreamDroppedEventSocketErrorDistr,pmFwkStreamDroppedEventSocketErrorDistr,GNBCUUPFunction
