Fact Table Name,Counter Name,3gpp32435,Mo Class
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg12aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg13aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg14aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg15aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg16aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg17aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg18aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg19aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg20aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg21aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg22aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg23aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg24aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg25aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg26aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg27aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg28aucsubs-group
DC_E_CUDB_CCDM_AUCFE_REGAUCSUBS,eric_udr_app_counter_nrgsubscnt,eric-udr-app-counter-nrgsubscnt,eric-udr-app-counter-grp_aucfe_reg29aucsubs-group
