Fact Table Name,Counter Name,Data id,MO class
DC_E_TCU_ACLENTRYIP6,aclEntryPackets,aclEntryPackets,AclEntryIpv6Stats
DC_E_TCU_ACLIPV6,aclNdpAndMldPermits,aclNdpAndMldPermits,AclIpv6Stats
DC_E_TCU_ACLIPV6,aclTotalDiscards,aclTotalDiscards,AclIpv6Stats
DC_E_TCU_ETHERNETPORT_V,ifInOctetRatePercentiles,ifInOctetRatePercentiles,EthernetPort_V
DC_E_TCU_ETHERNETPORT_V,ifOutOctetRatePercentiles,ifOutOctetRatePercentiles,EthernetPort_V
DC_E_TCU_ETHERNETPORT_V,ifInOctetRatePercentiles,ifInOctetRatePercentiles,VirtualEthernetPort_V
DC_E_TCU_ETHERNETPORT_V,ifOutOctetRatePercentiles,ifOutOctetRatePercentiles,VirtualEthernetPort_V
DC_E_TCU_IPSECPOLICYRULE,espTunInIntegrityFail,espTunInIntegrityFail,IpsecPolicy
DC_E_TCU_IPSECPOLICYRULE,espTunInReplayFail,espTunInReplayFail,IpsecPolicy
DC_E_TCU_IPSECPOLICYRULE,espTunOutNoSA,espTunOutNoSA,IpsecPolicy
DC_E_TCU_CLIMATEMEASRUEMENT,pmSpmDifferentialAirPressure,pmSpmDifferentialAirPressure,Climate
DC_E_TCU_CLIMATEMEASRUEMENT,pmSpmBarometricAirPressure,pmSpmBarometricAirPressure,Climate
DC_E_TCU_CLIMATEMEASRUEMENT_V,pmCabinetTemperature,pmCabinetTemperature,Climate_V
DC_E_TCU_CLIMATEMEASRUEMENT_V,pmCabinetFanSpeed,pmCabinetFanSpeed,Climate_V
DC_E_TCU_CLIMATEMEASRUEMENT_V,pmCabinetFanSpeedExternal,pmCabinetFanSpeedExternal,Climate_V
